ped	id	sex	mother	father	Total_Ages_Available	ID	Exists_As_Adult	RRBS_Missingness	Total_NG_Remaining
1	109	1	167	166	1	B4P8236	0	0.875407452	716.264559
1	110	2	171	170	1	B4X1746	0	0.756981676	896
1	111	2	172	79	1	B4P9995	0	0.810862201	1278
1	115	1	0	0	1	B2F5304	0	0.951673128	0
1	116	2	0	0	1	B2V8308	0	0.859345804	3200
1	117	2	0	0	1	B2V8668	0	0.957994923	782.5
1	120	1	0	0	1	B2V8779	0	0.91997974	2229.5
1	123	1	0	0	1	B2V8993	0	0.942999363	1659
1	129	1	0	0	1	B2X3215	0	0.920553569	388
1	131	2	0	0	1	B2X3328	0	0.848746417	291
1	133	1	0	0	1	B2X3443	0	0.816374215	556.5
1	140	2	0	0	1	B2X3716	0	0.817762379	1525
1	146	1	0	0	1	B2X4843	0	0.839392627	1310
1	148	1	0	0	1	B2X4901	0	0.806225449	1503
1	151	2	0	0	1	B2X7090	0	0.818808253	531
1	153	1	0	0	1	B2X7304	0	0.863240464	1484
1	154	1	0	0	1	B2X7411	0	0.698126737	1589
1	156	1	0	0	1	B2X7608	0	0.878449982	2513
1	161	2	0	0	1	B3Y5931	0	0.690544683	309.2245388
1	166	1	0	0	1	B4H0453	0	0.859321746	373.5
1	167	2	0	0	1	B4H1350	0	0.862766426	792.5
1	168	1	0	0	1	B4H1928	0	0.723024292	381
1	169	1	0	0	1	B4H1996	0	0.744799171	428
1	170	1	0	0	1	B4P8531	0	0.913005253	554
1	171	2	0	0	1	B4P8958	0	0.921927853	1157.5
1	172	2	0	0	1	B4P9464	0	0.881098761	1068
1	173	2	0	0	0	B2X3077	NA	NA	NA
1	174	2	0	0	0	B2X3099	NA	NA	NA
1	175	2	0	0	0	B2X3246	NA	NA	NA
1	176	2	0	0	0	B2X3409	NA	NA	NA
1	177	2	0	0	0	B2X3496	NA	NA	NA
1	178	2	0	0	0	B2X3803	NA	NA	NA
1	179	2	0	0	0	B2X4964	NA	NA	NA
1	180	2	0	0	0	B2X7604	NA	NA	NA
1	181	2	0	0	0	B3Y5504	NA	NA	NA
1	182	2	0	0	0	B3Y5874	NA	NA	NA
1	183	1	0	0	0	B1V5577	NA	NA	NA
1	184	1	0	0	0	B2X3021	NA	NA	NA
1	185	1	0	0	0	B2F5658	NA	NA	NA
1	186	1	0	0	0	B1P5984	NA	NA	NA
1	187	1	0	0	0	B2X4023	NA	NA	NA
1	188	1	0	0	0	B2X4382	NA	NA	NA
1	189	1	0	0	0	B2X4962	NA	NA	NA
1	190	1	0	0	0	B2X7052	NA	NA	NA
1	191	1	0	0	0	B3Y5607	NA	NA	NA
1	192	1	0	0	0	B2X7273	NA	NA	NA
