ID	total_sequences	unique_hits	mapping_rate	total_cytosines	cpg_rate	chg_rate	chh_rate
B2X3653_BL_ADL_F__SRR22581183	14056277	5660167	40.3%	260173336	49.4%	1.4%	0.7%
B2X3682_BL_ADL_M__SRR20216421	34838091	16071180	46.1%	724130220	44.9%	2.1%	0.5%
B2X3682_BL_ADL_M__SRR22581125	32792937	14908841	45.5%	684425139	46.1%	1.5%	0.7%
B2X3683_BL_ADL_M__SRR20216420	12556253	5494780	43.8%	244841791	45.1%	2.0%	0.5%
B2X3683_BL_ADL_M__SRR22581116	15662269	6906548	44.1%	315684068	49.8%	1.6%	0.7%
B2X3686_BL_ADL_M__SRR20216419	2537498	1092727	43.1%	48246852	46.9%	2.1%	0.5%
B2X3686_BL_ADL_M__SRR22581262	38061815	17639783	46.3%	806014023	52.2%	1.6%	0.7%
B2X3690_BL_ADL_M__SRR20216418	15779680	6906545	43.8%	305970043	47.2%	1.9%	0.5%
B2X3690_BL_ADL_M__SRR22581187	17305006	7830994	45.3%	359848931	52.1%	1.5%	0.7%
B2X3691_BL_ADL_M__SRR20216417	31079248	13970252	45.0%	622894035	49.6%	2.0%	0.5%
B2X3691_BL_ADL_M__SRR22581253	2416280	1036236	42.9%	46636511	52.6%	1.5%	0.7%
B2X3716_BL_CHK_F__SRR20216415	41657675	17833429	42.8%	806467889	46.6%	2.0%	0.5%
B2X3716_BL_CHK_F__SRR20216416	3516864	1461209	41.5%	64294376	47.9%	1.8%	0.5%
B2X3716_BL_CHK_F__SRR22581169	54250067	23822420	43.9%	1072935901	48.1%	1.7%	0.7%
B2X3716_BL_CHK_F__SRR22581173	24521170	10611198	43.3%	480160752	54.0%	1.5%	0.7%
B2X3864_BL_ADL_F__SRR20216414	20163588	8670493	43.0%	381942837	48.1%	2.3%	0.5%
B2X3864_BL_ADL_F__SRR22581255	9014401	4145321	46.0%	185948538	50.6%	1.7%	0.7%
B2X3931_BL_ADL_F__SRR20216413	35559042	15499309	43.6%	680144138	47.8%	2.0%	0.5%
B2X3931_BL_ADL_F__SRR22581302	69949333	32213957	46.1%	1466339247	54.0%	1.6%	0.7%
B2X4031_BL_ADL_M__SRR20216411	6486783	2866991	44.2%	126973332	45.7%	2.2%	0.5%
B2X4031_BL_ADL_M__SRR22581263	7488434	3332862	44.5%	149179655	48.4%	1.6%	0.7%
B2X4034_BL_ADL_F__SRR20216410	46050053	20017878	43.5%	888920951	46.5%	2.1%	0.5%
B2X4034_BL_ADL_F__SRR22581254	8031058	3484684	43.4%	156246312	47.0%	1.5%	0.7%
B2X4036_BL_ADL_F__SRR20216409	9960531	4254911	42.7%	188778294	46.4%	2.2%	0.5%
B2X4036_BL_ADL_F__SRR22581245	10668204	4531739	42.5%	201129608	45.5%	1.6%	0.7%
B2X4036_BL_CHK_F__SRR20216528	15463096	6482484	41.9%	288893313	50.0%	1.8%	0.5%
B2X4036_BL_CHK_F__SRR22581284	4648188	2021998	43.5%	89752888	51.4%	1.6%	0.7%
B2X4037_BL_ADL_M__SRR20216526	6734039	2981142	44.3%	132652011	48.3%	1.9%	0.5%
B2X4037_BL_ADL_M__SRR22581234	51720475	24717982	47.8%	1097927434	50.8%	1.7%	0.7%
B2X4037_BL_CHK_M__SRR20216527	3120214	1330093	42.6%	60373616	47.2%	1.8%	0.5%
B2X4037_BL_CHK_M__SRR22581112	12728452	4779482	37.5%	216102990	50.0%	1.5%	0.7%
B2X4101_BL_ADL_F__SRR20216525	13644304	5682414	41.6%	252603595	45.8%	2.0%	0.5%
B2X4101_BL_ADL_F__SRR22581114	22380660	9347039	41.8%	423968629	51.2%	1.6%	0.7%
B2X4102_BL_ADL_F__SRR20216524	6243098	2667573	42.7%	119211784	45.2%	1.7%	0.5%
B2X4102_BL_ADL_F__SRR22581178	20703385	9025113	43.6%	419782033	50.6%	1.4%	0.7%
B2X4108_BL_ADL_M__SRR20216523	7142299	3153729	44.2%	138194129	46.7%	2.0%	0.5%
B2X4108_BL_ADL_M__SRR22581243	13255105	6183398	46.6%	279840766	53.9%	1.5%	0.7%
B2X4110_BL_ADL_M__SRR20216522	13182350	5847637	44.4%	258130751	47.3%	2.0%	0.5%
B2X4110_BL_ADL_M__SRR22581141	16421553	7696301	46.9%	347636756	51.1%	1.5%	0.7%
B2X4112_BL_ADL_M__SRR20216520	44063443	19785891	44.9%	884325939	45.0%	1.9%	0.5%
B2X4112_BL_ADL_M__SRR22581200	20330638	8491000	41.8%	380109815	45.4%	1.5%	0.7%
B2X4123_BL_ADL_F__SRR20216519	29837002	12915493	43.3%	573641741	47.7%	1.9%	0.5%
