ID	Batch	Biosample	Accession	Ring	Tissue	Age	Sex
B2X4901_BL_CHK_M__SRR22581269	Saarland_Second	B2X4901_BL_CHK_M	SRR22581269	B2X4901	BL	CHK	M
B2V8779_BL_CHK_M__SRR22581221	Saarland_Second	B2V8779_BL_CHK_M	SRR22581221	B2V8779	BL	CHK	M
B3Y5976_BL_CHK_M__SRR22581287	Saarland_Second	B3Y5976_BL_CHK_M	SRR22581287	B3Y5976	BL	CHK	M
B2V8701_BL_ADL_F__SRR22581145	Saarland_Second	B2V8701_BL_ADL_F	SRR22581145	B2V8701	BL	ADL	F
B2X4961_BL_ADL_M__SRR22581247	Saarland_Second	B2X4961_BL_ADL_M	SRR22581247	B2X4961	BL	ADL	M
B2X7339_BL_ADL_M__SRR22581227	Saarland_Second	B2X7339_BL_ADL_M	SRR22581227	B2X7339	BL	ADL	M
B2V8901_BL_CHK_F__SRR22581214	Saarland_Second	B2V8901_BL_CHK_F	SRR22581214	B2V8901	BL	CHK	F
B2X4455_BL_ADL_M__SRR22581244	Saarland_Second	B2X4455_BL_ADL_M	SRR22581244	B2X4455	BL	ADL	M
B4E9457_BL_CHK_F__SRR22581219	Saarland_Second	B4E9457_BL_CHK_F	SRR22581219	B4E9457	BL	CHK	F
B3Y6742_BL_CHK_F__SRR22581165	Saarland_Second	B3Y6742_BL_CHK_F	SRR22581165	B3Y6742	BL	CHK	F
B2X7548_BL_CHK_M__SRR22581265	Saarland_Second	B2X7548_BL_CHK_M	SRR22581265	B2X7548	BL	CHK	M
B4H1195_BL_CHK_M__SRR22581277	Saarland_Second	B4H1195_BL_CHK_M	SRR22581277	B4H1195	BL	CHK	M
B4E9273_BL_ADL_M__SRR22581266	Saarland_Second	B4E9273_BL_ADL_M	SRR22581266	B4E9273	BL	ADL	M
B2X3081_BL_ADL_M__SRR22581162	Saarland_Second	B2X3081_BL_ADL_M	SRR22581162	B2X3081	BL	ADL	M
B2X4839_BL_ADL_M__SRR22581186	Saarland_Second	B2X4839_BL_ADL_M	SRR22581186	B2X4839	BL	ADL	M
B2X7415_BL_ADL_F__SRR22581217	Saarland_Second	B2X7415_BL_ADL_F	SRR22581217	B2X7415	BL	ADL	F
B2X3716_BL_CHK_F__SRR22581169	Saarland_Second	B2X3716_BL_CHK_F	SRR22581169	B2X3716	BL	CHK	F
B2X4102_BL_ADL_F__SRR22581178	Saarland_Second	B2X4102_BL_ADL_F	SRR22581178	B2X4102	BL	ADL	F
B2X3614_BL_ADL_F__SRR22581301	Saarland_Second	B2X3614_BL_ADL_F	SRR22581301	B2X3614	BL	ADL	F
B2X4108_BL_ADL_M__SRR22581243	Saarland_Second	B2X4108_BL_ADL_M	SRR22581243	B2X4108	BL	ADL	M
B2X7638_BL_CHK_F__SRR22581299	Saarland_Second	B2X7638_BL_CHK_F	SRR22581299	B2X7638	BL	CHK	F
